Line #,State abbreviation,State name,Congressional district, Citizen voting-age population Estimate , Citizen voting-age population Margin of error (MOE) , Less than 9th grade Estimate , Less than 9th grade Margin of error (MOE) , Less than 9th grade Percent of total , Less than 9th grade Percent of total margin of error (MOE) ," 9th to 12 Grade, no diploma Estimate "," 9th to 12 Grade, no diploma Margin of error (MOE) "," 9th to 12 Grade, no diploma Percent of total "," 9th to 12 Grade, no diploma Percent of total margin of error (MOE) ", High school graduate Estimate , High school graduate Margin of error (MOE) , High school graduate Percent of total , High school graduate Percent of total margin of error (MOE) ," Some college, no degree Estimate "," Some college, no degree Margin of error (MOE) "," Some college, no degree Percent of total "," Some college, no degree Percent of total margin of error (MOE) ", Associate's degree Estimate , Associate's degree Margin of error (MOE) , Associate's degree Percent of total , Associate's degree Percent of total margin of error (MOE) , Bachelor's degree Estimate , Bachelor's degree Margin of error (MOE) , Bachelor's degree Percent of total , Bachelor's degree Percent of total margin of error (MOE) , Graduate degree Estimate , Graduate degree Margin of error (MOE) , Graduate degree Percent of total , Graduate degree Percent of total margin of error (MOE) , High school or more Estimate , High school or more Margin of error (MOE) , High school or more Percent of total , High school or more Percent of total margin of error (MOE) , Bachelor's degree or more Estimate , Bachelor's degree or more Margin of error (MOE) , Bachelor's degree or more Percent of total , Bachelor's degree or more Percent of total margin of error (MOE) ,
195,MA,Massachusetts,5," 535,109 "," 10,214 "," 10,528 "," 1,927 ", 2.0 , 0.4 ," 15,012 "," 2,446 ", 2.8 , 0.5 ," 98,703 "," 5,355 ", 18.4 , 1.0 ," 75,536 "," 4,335 ", 14.1 , 0.7 ," 28,827 "," 2,649 ", 5.4 , 0.5 ," 159,445 "," 6,599 ", 29.8 , 1.0 ," 147,058 "," 5,770 ", 27.5 , 1.0 ," 509,569 "," 10,673 ", 95.2 , 0.6 ," 306,503 "," 8,881 ", 57.3 , 1.3 ,
196,MA,Massachusetts,6," 577,241 "," 6,734 "," 12,735 "," 2,012 ", 2.2 , 0.3 ," 22,809 "," 2,965 ", 4.0 , 0.5 ," 140,305 "," 6,522 ", 24.3 , 1.1 ," 101,221 "," 5,394 ", 17.5 , 0.9 ," 44,564 "," 3,272 ", 7.7 , 0.6 ," 152,611 "," 5,786 ", 26.4 , 1.0 ," 102,996 "," 4,304 ", 17.8 , 0.8 ," 541,697 "," 6,468 ", 93.8 , 0.5 ," 255,607 "," 7,508 ", 44.3 , 1.3 ,
197,MA,Massachusetts,7," 558,430 "," 11,033 "," 25,821 "," 3,393 ", 4.6 , 0.6 ," 31,702 "," 3,724 ", 5.7 , 0.7 ," 103,504 "," 6,125 ", 18.5 , 1.1 ," 123,204 "," 6,642 ", 22.1 , 1.1 ," 26,449 "," 3,066 ", 4.7 , 0.5 ," 143,773 "," 6,315 ", 25.7 , 1.0 ," 103,977 "," 5,236 ", 18.6 , 0.9 ," 500,907 "," 11,534 ", 89.7 , 0.9 ," 247,750 "," 8,244 ", 44.4 , 1.2 ,
198,MA,Massachusetts,8," 561,241 "," 10,353 "," 14,964 "," 2,559 ", 2.7 , 0.4 ," 22,735 "," 2,906 ", 4.1 , 0.5 ," 119,668 "," 6,194 ", 21.3 , 1.0 ," 98,794 "," 4,616 ", 17.6 , 0.8 ," 42,482 "," 3,521 ", 7.6 , 0.6 ," 156,558 "," 6,884 ", 27.9 , 1.1 ," 106,040 "," 4,980 ", 18.9 , 0.9 ," 523,542 "," 8,996 ", 93.3 , 0.6 ," 262,598 "," 7,854 ", 46.8 , 1.2 ,
199,MA,Massachusetts,9," 573,274 "," 7,656 "," 20,503 "," 2,528 ", 3.6 , 0.4 ," 32,699 "," 3,091 ", 5.7 , 0.5 ," 162,931 "," 6,494 ", 28.4 , 1.1 ," 110,891 "," 6,356 ", 19.3 , 1.1 ," 50,771 "," 3,826 ", 8.9 , 0.6 ," 118,636 "," 5,407 ", 20.7 , 0.9 ," 76,843 "," 4,196 ", 13.4 , 0.7 ," 520,072 "," 7,138 ", 90.7 , 0.7 ," 195,479 "," 7,352 ", 34.1 , 1.3 ,
200,MI,Michigan,1," 564,858 "," 1,561 "," 9,793 "," 1,224 ", 1.7 , 0.2 ," 36,336 "," 2,294 ", 6.4 , 0.4 ," 186,144 "," 5,157 ", 33.0 , 0.9 ," 139,849 "," 5,007 ", 24.8 , 0.9 ," 56,267 "," 2,953 ", 10.0 , 0.5 ," 89,162 "," 3,406 ", 15.8 , 0.6 ," 47,307 "," 2,491 ", 8.4 , 0.4 ," 518,729 "," 2,940 ", 91.8 , 0.5 ," 136,469 "," 4,121 ", 24.2 , 0.7 ,
201,MI,Michigan,2," 551,323 "," 4,776 "," 9,933 "," 1,392 ", 1.8 , 0.3 ," 31,859 "," 3,169 ", 5.8 , 0.6 ," 174,642 "," 6,847 ", 31.7 , 1.2 ," 146,931 "," 5,959 ", 26.7 , 1.1 ," 52,975 "," 3,401 ", 9.6 , 0.6 ," 93,328 "," 4,089 ", 16.9 , 0.8 ," 41,655 "," 3,376 ", 7.6 , 0.6 ," 509,531 "," 5,382 ", 92.4 , 0.6 ," 134,983 "," 4,982 ", 24.5 , 0.9 ,
202,MI,Michigan,3," 551,028 "," 4,362 "," 8,238 "," 1,524 ", 1.5 , 0.3 ," 30,859 "," 2,694 ", 5.6 , 0.5 ," 156,293 "," 5,245 ", 28.4 , 0.9 ," 136,932 "," 5,041 ", 24.9 , 0.9 ," 51,216 "," 3,121 ", 9.3 , 0.6 ," 112,209 "," 4,560 ", 20.4 , 0.8 ," 55,281 "," 2,976 ", 10.0 , 0.5 ," 511,931 "," 4,637 ", 92.9 , 0.6 ," 167,490 "," 5,232 ", 30.4 , 0.9 ,
203,MI,Michigan,4," 554,938 "," 2,626 "," 12,192 "," 1,502 ", 2.2 , 0.3 ," 38,199 "," 3,067 ", 6.9 , 0.6 ," 191,898 "," 4,657 ", 34.6 , 0.8 ," 149,293 "," 4,319 ", 26.9 , 0.8 ," 54,823 "," 3,065 ", 9.9 , 0.5 ," 67,991 "," 3,513 ", 12.3 , 0.6 ," 40,542 "," 2,650 ", 7.3 , 0.5 ," 504,547 "," 4,200 ", 90.9 , 0.6 ," 108,533 "," 4,385 ", 19.6 , 0.8 ,
204,MI,Michigan,5," 520,558 "," 2,700 "," 15,810 "," 2,346 ", 3.0 , 0.5 ," 40,216 "," 3,387 ", 7.7 , 0.7 ," 176,679 "," 6,197 ", 33.9 , 1.1 ," 138,006 "," 4,917 ", 26.5 , 0.9 ," 53,758 "," 3,253 ", 10.3 , 0.6 ," 63,145 "," 4,335 ", 12.1 , 0.8 ," 32,944 "," 2,487 ", 6.3 , 0.5 ," 464,532 "," 4,998 ", 89.2 , 0.8 ," 96,089 "," 5,149 ", 18.5 , 1.0 ,
205,MI,Michigan,6," 541,981 "," 3,071 "," 12,744 "," 1,548 ", 2.4 , 0.3 ," 35,945 "," 2,931 ", 6.6 , 0.5 ," 159,576 "," 5,238 ", 29.4 , 1.0 ," 142,047 "," 5,226 ", 26.2 , 0.9 ," 51,155 "," 3,421 ", 9.4 , 0.6 ," 89,738 "," 4,461 ", 16.6 , 0.8 ," 50,776 "," 3,082 ", 9.4 , 0.6 ," 493,292 "," 4,063 ", 91.0 , 0.6 ," 140,514 "," 5,335 ", 25.9 , 1.0 ,
206,MI,Michigan,7," 548,462 "," 2,889 "," 9,235 "," 1,480 ", 1.7 , 0.3 ," 34,581 "," 3,145 ", 6.3 , 0.6 ," 177,551 "," 5,598 ", 32.4 , 1.0 ," 144,184 "," 4,879 ", 26.3 , 0.9 ," 52,211 "," 3,144 ", 9.5 , 0.6 ," 84,659 "," 3,528 ", 15.4 , 0.7 ," 46,041 "," 2,844 ", 8.4 , 0.5 ," 504,646 "," 3,767 ", 92.0 , 0.6 ," 130,700 "," 4,323 ", 23.8 , 0.8 ,
207,MI,Michigan,8," 554,462 "," 5,219 "," 7,238 "," 1,114 ", 1.3 , 0.2 ," 24,262 "," 2,417 ", 4.4 , 0.4 ," 126,429 "," 5,210 ", 22.8 , 0.9 ," 151,037 "," 4,746 ", 27.2 , 0.9 ," 48,014 "," 3,325 ", 8.7 , 0.6 ," 122,938 "," 5,092 ", 22.2 , 0.9 ," 74,544 "," 4,143 ", 13.4 , 0.7 ," 522,962 "," 5,417 ", 94.3 , 0.5 ," 197,482 "," 6,117 ", 35.6 , 1.0 ,
208,MI,Michigan,9," 552,114 "," 6,344 "," 13,567 "," 1,733 ", 2.5 , 0.3 ," 37,795 "," 3,550 ", 6.8 , 0.6 ," 152,491 "," 6,399 ", 27.6 , 1.0 ," 138,059 "," 4,921 ", 25.0 , 0.8 ," 49,408 "," 3,639 ", 8.9 , 0.7 ," 102,506 "," 4,686 ", 18.6 , 0.9 ," 58,288 "," 3,936 ", 10.6 , 0.7 ," 500,752 "," 6,610 ", 90.7 , 0.7 ," 160,794 "," 6,120 ", 29.1 , 1.2 ,
209,MI,Michigan,10," 553,804 "," 5,635 "," 13,316 "," 1,662 ", 2.4 , 0.3 ," 33,455 "," 3,002 ", 6.0 , 0.5 ," 175,993 "," 4,877 ", 31.8 , 0.7 ," 145,237 "," 5,093 ", 26.2 , 0.9 ," 61,063 "," 2,892 ", 11.0 , 0.5 ," 81,127 "," 3,827 ", 14.6 , 0.7 ," 43,613 "," 2,735 ", 7.9 , 0.5 ," 507,033 "," 6,291 ", 91.6 , 0.6 ," 124,740 "," 5,278 ", 22.5 , 0.9 ,
210,MI,Michigan,11," 534,817 "," 6,785 "," 6,943 "," 1,298 ", 1.3 , 0.2 ," 18,181 "," 1,954 ", 3.4 , 0.4 ," 106,280 "," 4,743 ", 19.9 , 0.9 ," 119,626 "," 5,042 ", 22.4 , 0.9 ," 45,347 "," 3,027 ", 8.5 , 0.6 ," 146,777 "," 4,847 ", 27.4 , 0.9 ," 91,663 "," 4,212 ", 17.1 , 0.7 ," 509,693 "," 6,162 ", 95.3 , 0.4 ," 238,440 "," 6,549 ", 44.6 , 1.1 ,
211,MI,Michigan,12," 526,943 "," 7,440 "," 12,059 "," 1,620 ", 2.3 , 0.3 ," 31,508 "," 3,036 ", 6.0 , 0.6 ," 132,700 "," 5,304 ", 25.2 , 1.0 ," 143,023 "," 5,880 ", 27.1 , 1.0 ," 40,587 "," 2,751 ", 7.7 , 0.5 ," 93,822 "," 4,744 ", 17.8 , 0.9 ," 73,244 "," 3,811 ", 13.9 , 0.7 ," 483,376 "," 6,985 ", 91.7 , 0.6 ," 167,066 "," 5,791 ", 31.7 , 1.0 ,
212,MI,Michigan,13," 474,739 "," 8,475 "," 16,791 "," 2,130 ", 3.5 , 0.4 ," 56,117 "," 3,881 ", 11.8 , 0.8 ," 171,156 "," 6,984 ", 36.1 , 1.2 ," 124,222 "," 6,010 ", 26.2 , 1.2 ," 34,310 "," 3,613 ", 7.2 , 0.8 ," 48,351 "," 3,492 ", 10.2 , 0.7 ," 23,792 "," 2,304 ", 5.0 , 0.5 ," 401,831 "," 7,960 ", 84.6 , 0.8 ," 72,143 "," 4,144 ", 15.2 , 0.9 ,
213,MI,Michigan,14," 512,851 "," 9,342 "," 13,291 "," 2,212 ", 2.6 , 0.4 ," 50,257 "," 4,663 ", 9.8 , 0.9 ," 130,078 "," 5,145 ", 25.4 , 0.9 ," 132,529 "," 5,700 ", 25.8 , 1.0 ," 38,470 "," 3,746 ", 7.5 , 0.7 ," 84,144 "," 4,753 ", 16.4 , 0.8 ," 64,082 "," 3,593 ", 12.5 , 0.7 ," 449,303 "," 9,643 ", 87.6 , 1.0 ," 148,226 "," 5,776 ", 28.9 , 1.0 ,
214,MN,Minnesota,1," 500,330 "," 2,914 "," 11,191 "," 1,278 ", 2.2 , 0.3 ," 25,623 "," 2,117 ", 5.1 , 0.4 ," 145,731 "," 4,576 ", 29.1 , 0.9 ," 117,157 "," 4,202 ", 23.4 , 0.9 ," 62,200 "," 3,156 ", 12.4 , 0.6 ," 95,022 "," 4,189 ", 19.0 , 0.8 ," 43,406 "," 3,120 ", 8.7 , 0.6 ," 463,516 "," 3,545 ", 92.6 , 0.5 ," 138,428 "," 4,454 ", 27.7 , 0.9 ,
215,MN,Minnesota,2," 511,914 "," 3,848 "," 6,801 "," 1,615 ", 1.3 , 0.3 ," 19,991 "," 2,149 ", 3.9 , 0.4 ," 115,471 "," 4,987 ", 22.6 , 1.0 ," 114,408 "," 4,507 ", 22.3 , 0.9 ," 64,360 "," 3,547 ", 12.6 , 0.7 ," 136,504 "," 5,074 ", 26.7 , 1.0 ," 54,379 "," 3,383 ", 10.6 , 0.7 ," 485,122 "," 4,175 ", 94.8 , 0.6 ," 190,883 "," 5,890 ", 37.3 , 1.1 ,
216,MN,Minnesota,3," 517,834 "," 7,590 "," 6,990 "," 1,780 ", 1.3 , 0.3 ," 14,392 "," 1,938 ", 2.8 , 0.4 ," 92,869 "," 4,854 ", 17.9 , 0.9 ," 103,178 "," 5,321 ", 19.9 , 0.9 ," 47,633 "," 3,297 ", 9.2 , 0.6 ," 169,886 "," 5,769 ", 32.8 , 1.1 ," 82,886 "," 3,924 ", 16.0 , 0.8 ," 496,452 "," 7,692 ", 95.9 , 0.5 ," 252,772 "," 5,751 ", 48.8 , 1.0 ,
217,MN,Minnesota,4," 510,862 "," 5,084 "," 14,355 "," 2,043 ", 2.8 , 0.4 ," 20,873 "," 2,050 ", 4.1 , 0.4 ," 103,156 "," 4,155 ", 20.2 , 0.8 ," 108,603 "," 5,156 ", 21.3 , 0.9 ," 46,707 "," 3,260 ", 9.1 , 0.6 ," 136,824 "," 4,810 ", 26.8 , 1.0 ," 80,344 "," 4,134 ", 15.7 , 0.8 ," 475,634 "," 5,416 ", 93.1 , 0.5 ," 217,168 "," 4,665 ", 42.5 , 1.0 ,
218,MN,Minnesota,5," 517,155 "," 6,617 "," 11,079 "," 1,728 ", 2.1 , 0.3 ," 20,949 "," 2,009 ", 4.1 , 0.4 ," 94,215 "," 4,490 ", 18.2 , 0.8 ," 113,435 "," 4,481 ", 21.9 , 0.8 ," 39,172 "," 2,994 ", 7.6 , 0.6 ," 157,619 "," 4,749 ", 30.5 , 0.8 ," 80,686 "," 4,251 ", 15.6 , 0.8 ," 485,127 "," 7,028 ", 93.8 , 0.5 ," 238,305 "," 5,869 ", 46.1 , 0.9 ,
219,MN,Minnesota,6," 525,551 "," 4,938 "," 7,139 "," 1,378 ", 1.4 , 0.3 ," 21,214 "," 2,334 ", 4.0 , 0.4 ," 147,962 "," 5,568 ", 28.2 , 1.0 ," 131,594 "," 5,000 ", 25.0 , 0.9 ," 69,220 "," 3,965 ", 13.2 , 0.8 ," 103,398 "," 4,422 ", 19.7 , 0.8 ," 45,024 "," 3,054 ", 8.6 , 0.6 ," 497,198 "," 5,181 ", 94.6 , 0.5 ," 148,422 "," 5,713 ", 28.2 , 1.1 ,
220,MN,Minnesota,7," 495,727 "," 2,489 "," 10,746 "," 1,392 ", 2.2 , 0.3 ," 26,785 "," 1,897 ", 5.4 , 0.4 ," 159,672 "," 3,903 ", 32.2 , 0.8 ," 121,783 "," 3,570 ", 24.6 , 0.7 ," 73,217 "," 2,872 ", 14.8 , 0.6 ," 75,070 "," 2,893 ", 15.1 , 0.6 ," 28,454 "," 1,689 ", 5.7 , 0.3 ," 458,196 "," 3,265 ", 92.4 , 0.4 ," 103,524 "," 3,572 ", 20.9 , 0.7 ,
221,MN,Minnesota,8," 527,541 "," 1,381 "," 6,488 ", 912 , 1.2 , 0.2 ," 32,123 "," 2,069 ", 6.1 , 0.4 ," 164,070 "," 4,274 ", 31.1 , 0.8 ," 141,250 "," 4,377 ", 26.8 , 0.8 ," 66,648 "," 3,047 ", 12.6 , 0.6 ," 81,173 "," 3,477 ", 15.4 , 0.7 ," 35,789 "," 2,172 ", 6.8 , 0.4 ," 488,930 "," 2,638 ", 92.7 , 0.4 ," 116,962 "," 3,763 ", 22.2 , 0.7 ,
222,MS,Mississippi,1," 577,880 "," 2,748 "," 25,710 "," 3,115 ", 4.4 , 0.5 ," 61,515 "," 4,934 ", 10.6 , 0.8 ," 178,253 "," 6,171 ", 30.8 , 1.1 ," 148,330 "," 5,978 ", 25.7 , 1.0 ," 53,761 "," 4,125 ", 9.3 , 0.7 ," 73,625 "," 4,267 ", 12.7 , 0.7 ," 36,686 "," 3,257 ", 6.3 , 0.6 ," 490,655 "," 6,099 ", 84.9 , 1.0 ," 110,311 "," 5,684 ", 19.1 , 1.0 ,
223,MS,Mississippi,2," 523,479 "," 4,699 "," 27,158 "," 2,654 ", 5.2 , 0.5 ," 61,742 "," 4,747 ", 11.8 , 0.9 ," 156,611 "," 6,212 ", 29.9 , 1.1 ," 134,088 "," 6,126 ", 25.6 , 1.1 ," 49,979 "," 4,244 ", 9.5 , 0.8 ," 61,189 "," 3,902 ", 11.7 , 0.7 ," 32,712 "," 3,037 ", 6.2 , 0.6 ," 434,579 "," 6,537 ", 83.0 , 1.0 ," 93,901 "," 4,546 ", 17.9 , 0.9 ,
224,MS,Mississippi,3," 559,913 "," 5,338 "," 18,828 "," 2,818 ", 3.4 , 0.5 ," 50,887 "," 3,969 ", 9.1 , 0.7 ," 157,990 "," 7,284 ", 28.2 , 1.3 ," 133,449 "," 6,984 ", 23.8 , 1.2 ," 55,055 "," 4,154 ", 9.8 , 0.8 ," 86,826 "," 5,179 ", 15.5 , 0.9 ," 56,878 "," 3,610 ", 10.2 , 0.6 ," 490,198 "," 6,698 ", 87.5 , 0.8 ," 143,704 "," 6,421 ", 25.7 , 1.1 ,
225,MS,Mississippi,4," 579,386 "," 3,131 "," 21,770 "," 2,925 ", 3.8 , 0.5 ," 49,267 "," 5,407 ", 8.5 , 0.9 ," 176,706 "," 8,330 ", 30.5 , 1.4 ," 144,554 "," 7,545 ", 24.9 , 1.3 ," 66,264 "," 4,102 ", 11.4 , 0.7 ," 76,361 "," 4,914 ", 13.2 , 0.8 ," 44,464 "," 3,781 ", 7.7 , 0.7 ," 508,349 "," 6,880 ", 87.7 , 1.0 ," 120,825 "," 6,539 ", 20.9 , 1.1 ,
226,MO,Missouri,1," 549,361 "," 6,958 "," 12,310 "," 1,956 ", 2.2 , 0.4 ," 43,630 "," 4,346 ", 7.9 , 0.8 ," 145,273 "," 7,150 ", 26.4 , 1.2 ," 139,298 "," 6,824 ", 25.4 , 1.2 ," 42,877 "," 3,982 ", 7.8 , 0.7 ," 99,489 "," 4,233 ", 18.1 , 0.8 ," 66,484 "," 4,062 ", 12.1 , 0.7 ," 493,421 "," 7,733 ", 89.8 , 0.8 ," 165,973 "," 6,059 ", 30.2 , 1.1 ,
227,MO,Missouri,2," 575,828 "," 8,830 "," 5,743 "," 1,149 ", 1.0 , 0.2 ," 22,150 "," 2,250 ", 3.8 , 0.4 ," 112,586 "," 5,665 ", 19.6 , 0.9 ," 121,714 "," 5,891 ", 21.1 , 1.0 ," 46,557 "," 3,324 ", 8.1 , 0.6 ," 157,696 "," 6,511 ", 27.4 , 1.1 ," 109,382 "," 4,128 ", 19.0 , 0.7 ," 547,935 "," 9,091 ", 95.2 , 0.4 ," 267,078 "," 7,126 ", 46.4 , 1.1 ,
228,MO,Missouri,3," 602,748 "," 6,241 "," 12,247 "," 1,544 ", 2.0 , 0.3 ," 42,874 "," 3,649 ", 7.1 , 0.6 ," 192,787 "," 7,024 ", 32.0 , 1.1 ," 148,492 "," 4,997 ", 24.6 , 0.8 ," 54,942 "," 4,267 ", 9.1 , 0.7 ," 99,269 "," 5,177 ", 16.5 , 0.9 ," 52,137 "," 3,993 ", 8.6 , 0.6 ," 547,627 "," 6,408 ", 90.9 , 0.6 ," 151,406 "," 6,650 ", 25.1 , 1.1 ,
229,MO,Missouri,4," 584,925 "," 4,248 "," 17,240 "," 2,390 ", 2.9 , 0.4 ," 39,370 "," 2,766 ", 6.7 , 0.5 ," 192,692 "," 6,024 ", 32.9 , 1.0 ," 159,060 "," 5,979 ", 27.2 , 1.0 ," 45,652 "," 3,227 ", 7.8 , 0.5 ," 82,367 "," 4,592 ", 14.1 , 0.8 ," 48,544 "," 3,784 ", 8.3 , 0.6 ," 528,315 "," 4,751 ", 90.3 , 0.6 ," 130,911 "," 5,276 ", 22.4 , 0.9 ,
230,MO,Missouri,5," 573,775 "," 5,681 "," 11,163 "," 1,799 ", 1.9 , 0.3 ," 37,919 "," 3,546 ", 6.6 , 0.6 ," 181,971 "," 6,542 ", 31.7 , 1.1 ," 146,002 "," 5,644 ", 25.4 , 1.0 ," 41,360 "," 2,901 ", 7.2 , 0.5 ," 101,080 "," 4,532 ", 17.6 , 0.8 ," 54,280 "," 3,983 ", 9.5 , 0.7 ," 524,693 "," 5,961 ", 91.4 , 0.7 ," 155,360 "," 5,946 ", 27.1 , 1.0 ,
231,MO,Missouri,6," 583,457 "," 5,275 "," 12,999 "," 1,822 ", 2.2 , 0.3 ," 38,361 "," 2,934 ", 6.6 , 0.5 ," 191,683 "," 6,604 ", 32.9 , 1.1 ," 141,271 "," 6,134 ", 24.2 , 1.0 ," 44,012 "," 2,930 ", 7.5 , 0.5 ," 103,472 "," 4,418 ", 17.7 , 0.7 ," 51,659 "," 3,514 ", 8.9 , 0.6 ," 532,097 "," 6,730 ", 91.2 , 0.6 ," 155,131 "," 5,544 ", 26.6 , 0.9 ,
232,MO,Missouri,7," 595,559 "," 2,710 "," 16,583 "," 2,335 ", 2.8 , 0.4 ," 44,724 "," 3,325 ", 7.5 , 0.6 ," 190,912 "," 5,720 ", 32.1 , 1.0 ," 164,558 "," 6,385 ", 27.6 , 1.0 ," 48,250 "," 3,603 ", 8.1 , 0.6 ," 86,385 "," 4,889 ", 14.5 , 0.8 ," 44,147 "," 3,338 ", 7.4 , 0.6 ," 534,252 "," 4,487 ", 89.7 , 0.7 ," 130,532 "," 5,504 ", 21.9 , 0.9 ,
233,MO,Missouri,8," 567,717 "," 3,947 "," 25,839 "," 2,643 ", 4.6 , 0.5 ," 61,909 "," 4,350 ", 10.9 , 0.7 ," 217,973 "," 5,912 ", 38.4 , 1.0 ," 125,854 "," 4,939 ", 22.2 , 0.8 ," 44,447 "," 3,087 ", 7.8 , 0.5 ," 57,370 "," 3,924 ", 10.1 , 0.7 ," 34,325 "," 3,182 ", 6.0 , 0.6 ," 479,969 "," 5,722 ", 84.5 , 0.8 ," 91,695 "," 4,765 ", 16.2 , 0.9 ,
234,MT,Montana,At-large," 823,668 "," 2,462 "," 13,693 "," 1,776 ", 1.7 , 0.2 ," 43,308 "," 2,994 ", 5.3 , 0.4 ," 235,406 "," 6,595 ", 28.6 , 0.8 ," 213,870 "," 7,215 ", 26.0 , 0.9 ," 75,647 "," 4,384 ", 9.2 , 0.5 ," 161,452 "," 4,929 ", 19.6 , 0.6 ," 80,292 "," 3,973 ", 9.7 , 0.5 ," 766,667 "," 4,096 ", 93.1 , 0.4 ," 241,744 "," 6,030 ", 29.3 , 0.7 ,
235,NE,Nebraska,1," 473,676 "," 3,971 "," 9,660 "," 1,562 ", 2.0 , 0.3 ," 19,293 "," 2,228 ", 4.1 , 0.5 ," 124,712 "," 5,087 ", 26.3 , 1.0 ," 118,501 "," 4,351 ", 25.0 , 0.9 ," 55,985 "," 3,546 ", 11.8 , 0.8 ," 99,467 "," 5,081 ", 21.0 , 1.1 ," 46,058 "," 3,257 ", 9.7 , 0.7 ," 444,723 "," 4,378 ", 93.9 , 0.6 ," 145,525 "," 5,583 ", 30.7 , 1.2 ,
236,NE,Nebraska,2," 467,041 "," 4,132 "," 10,190 "," 1,517 ", 2.2 , 0.3 ," 22,645 "," 2,048 ", 4.8 , 0.4 ," 100,349 "," 4,203 ", 21.5 , 0.8 ," 115,551 "," 4,440 ", 24.7 , 0.9 ," 38,525 "," 2,431 ", 8.2 , 0.5 ," 118,383 "," 4,143 ", 25.3 , 0.9 ," 61,398 "," 3,667 ", 13.1 , 0.8 ," 434,206 "," 4,417 ", 93.0 , 0.6 ," 179,781 "," 4,905 ", 38.5 , 1.1 ,
237,NE,Nebraska,3," 439,543 "," 3,065 "," 12,722 "," 1,833 ", 2.9 , 0.4 ," 26,245 "," 2,262 ", 6.0 , 0.5 ," 139,853 "," 3,959 ", 31.8 , 0.9 ," 115,467 "," 4,456 ", 26.3 , 1.0 ," 50,287 "," 2,851 ", 11.4 , 0.7 ," 66,060 "," 2,888 ", 15.0 , 0.7 ," 28,909 "," 2,125 ", 6.6 , 0.5 ," 400,576 "," 3,913 ", 91.1 , 0.6 ," 94,969 "," 3,946 ", 21.6 , 0.9 ,
238,NV,Nevada,1," 418,811 "," 10,703 "," 19,852 "," 2,585 ", 4.7 , 0.6 ," 47,042 "," 3,896 ", 11.2 , 0.8 ," 142,383 "," 6,274 ", 34.0 , 1.2 ," 113,629 "," 6,267 ", 27.1 , 1.3 ," 30,519 "," 3,091 ", 7.3 , 0.7 ," 45,994 "," 3,337 ", 11.0 , 0.8 ," 19,392 "," 1,850 ", 4.6 , 0.4 ," 351,917 "," 9,937 ", 84.0 , 1.0 ," 65,386 "," 3,931 ", 15.6 , 0.9 ,
239,NV,Nevada,2," 531,489 "," 4,280 "," 11,462 "," 2,013 ", 2.2 , 0.4 ," 31,568 "," 3,169 ", 5.9 , 0.6 ," 143,551 "," 5,454 ", 27.0 , 1.0 ," 154,908 "," 5,628 ", 29.1 , 1.0 ," 53,108 "," 3,801 ", 10.0 , 0.7 ," 88,411 "," 4,576 ", 16.6 , 0.9 ," 48,481 "," 3,234 ", 9.1 , 0.6 ," 488,459 "," 4,817 ", 91.9 , 0.7 ," 136,892 "," 5,704 ", 25.8 , 1.1 ,
240,NV,Nevada,3," 607,915 "," 11,250 "," 8,687 "," 1,758 ", 1.4 , 0.3 ," 29,939 "," 3,437 ", 4.9 , 0.6 ," 158,850 "," 8,385 ", 26.1 , 1.2 ," 170,118 "," 8,115 ", 28.0 , 1.1 ," 51,956 "," 3,683 ", 8.5 , 0.6 ," 121,177 "," 5,583 ", 19.9 , 0.9 ," 67,188 "," 4,127 ", 11.1 , 0.7 ," 569,289 "," 11,424 ", 93.6 , 0.7 ," 188,365 "," 6,380 ", 31.0 , 1.1 ,
241,NV,Nevada,4," 516,951 "," 10,773 "," 14,955 "," 2,180 ", 2.9 , 0.4 ," 45,162 "," 3,993 ", 8.7 , 0.8 ," 163,158 "," 6,709 ", 31.6 , 1.2 ," 144,930 "," 7,012 ", 28.0 , 1.1 ," 42,552 "," 3,094 ", 8.2 , 0.6 ," 69,252 "," 4,723 ", 13.4 , 0.9 ," 36,942 "," 3,183 ", 7.1 , 0.6 ," 456,834 "," 10,385 ", 88.4 , 0.8 ," 106,194 "," 5,851 ", 20.5 , 1.1 ,
242,NH,New Hampshire,1," 540,224 "," 4,909 "," 10,894 "," 2,091 ", 2.0 , 0.4 ," 25,623 "," 2,860 ", 4.7 , 0.5 ," 148,958 "," 6,829 ", 27.6 , 1.2 ," 116,840 "," 5,465 ", 21.6 , 1.0 ," 54,784 "," 3,413 ", 10.1 , 0.6 ," 116,183 "," 5,490 ", 21.5 , 1.0 ," 66,942 "," 3,331 ", 12.4 , 0.6 ," 503,707 "," 5,837 ", 93.2 , 0.7 ," 183,125 "," 6,052 ", 33.9 , 1.1 ,
243,NH,New Hampshire,2," 529,588 "," 4,458 "," 10,705 "," 1,986 ", 2.0 , 0.4 ," 25,258 "," 2,658 ", 4.8 , 0.5 ," 158,217 "," 5,570 ", 29.9 , 1.0 ," 106,418 "," 4,796 ", 20.1 , 0.9 ," 47,940 "," 3,308 ", 9.1 , 0.6 ," 111,299 "," 5,228 ", 21.0 , 1.0 ," 69,751 "," 4,112 ", 13.2 , 0.8 ," 493,625 "," 5,733 ", 93.2 , 0.6 ," 181,050 "," 5,839 ", 34.2 , 1.1 ,
